"Incident: Incident Number","Subject","Incident Date/Time","City","Country","Description","NC4 Incident","Primary Type","Incident Status","Market","Philips Site or Building","Management Level"
"INC-1068","Manufacturing Shift Cancelled Due To Lack of Parts","7/18/2022 12:00 AM","","","EverBridge Notification:
Due to the continued parts constraints, RIST will suspend manufacturing, excluding selected warehouse personnel. All Associates will be paid. All employees, including warehouse personnel should plan to report to work on Monday night and normal schedule Tuesday July19th.","","Product or Service related (Recall, Quality, Sabotage)","Closed","","","Site"
"INC-1327","hurricane sigrid","3/29/2023 6:13 AM","","","Hurricane sigrid is expected to make dangerous impact.","","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Country"
"INC-1302","Hurricane Sigrid","2/22/2023 5:25 AM","","Netherlands","The hurricane will make landfall in 4 days and is expected to have a significant impact","","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Country"
"INC-1025","Phishing Emails","6/8/2022 2:00 AM","","Japan","Four of Philips Japan suppliers reported to us that they have been receiving phishing emails with suspicious attachments, which the sender is displayed as Philips Japan employee(s).
(Pictures of the emails are uploaded on ""Information"" sheet)
The email address however is NOT Philips email. 
The domains used in the phishing emails are; 
(please do not click)
- ""metal-box.jp""
- ""kk-sineikougyou.co.jp""
- ""rondo.plala.or.jp""
- ""francfranc.com.hk""
At least one of the suppliers opened the attachment. The impact is unknown.
Philips Japan is a third party at this moment and no impact on our business is confirmed.
However, Philips Japan sees that the nature of the phishing is intension to attack Philips Japan. 
Considering such risk, the case has been escalated to the global security team. 
We are also working closely with our suppliers and going to provide them with the information of the case.
To be updated.","","Cyber Security","Closed","","","Market"
"INC-1130","Patch release causing label printers to shut down","9/9/2022 11:00 AM","","","Patch released centrally has caused MF label printers to shut down across several MF sites - Fremont south, Plymouth, and Colorado Springs","","Information Technology (Internal Applications, Network, Telecommunications)","Closed","","","Site"
"INC-1135","Meteorological: Tropical Cyclone for MUIFA-22","9/13/2022 8:46 AM","Suzhou","China","Muifa is on track to pass over or near Shanghai late Wednesday, probably as a borderline tropical storm/category 1 typhoon, and hug the coast of east-central China as a tropical storm, possibly passing near Beijing around Friday before it dissipates entirely. Most of the coastline will be on the weaker left-hand side of Muifa, so winds should not be a major threat, but widespread torrential rain is a distinct concern. Totals of 3 to 10 inches are possible in and near Shanghai, with 3 to 6 inches or more also possible as Muifa encounters the Shadong Peninsula.","Meteorological: Tropical Cyclone for MUIFA-22","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Country"
"INC-1134","Meteorological: Tropical Cyclone for MUIFA-22","9/13/2022 8:46 AM","Suzhou","China","Muifa is on track to pass over or near Shanghai late Wednesday, probably as a borderline tropical storm/category 1 typhoon, and hug the coast of east-central China as a tropical storm, possibly passing near Beijing around Friday before it dissipates entirely. Most of the coastline will be on the weaker left-hand side of Muifa, so winds should not be a major threat, but widespread torrential rain is a distinct concern. Totals of 3 to 10 inches are possible in and near Shanghai, with 3 to 6 inches or more also possible as Muifa encounters the Shadong Peninsula.","","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Country"
"INC-1278","META LWP - SOS Ahmed Ali","2/6/2023 7:56 PM","","Egypt","The Employee Ahmed Ali opened one SOS on 06-02-2023 at approximately: 17:21:30 and 4 calls attempted.
The EW&M couldn't get contact with him as he is stated as unavailable when we call.

We also tried to get in contact with his manager and the head of H&S for Meta, both unsuccessful.","","Other","Closed","","","Regional"
"INC-1291","Earthquakes in Israel","2/6/2023 9:25 AM","","","Several Earthquakes occurred in Israel on Feb 6th at night and noon, as a result of the significant earthquake in Turkey. No damage nor casualties.","","Geophysical (Earthquake, landslide, Tsunamis)","Closed","","","Country"
"INC-1201","Terror Attack Johannesburg, South Africa","10/27/2022 5:45 AM","Johannesburg","South Africa","The US embassy in the capital Pretoria issued an terror alert on 26 October. It warned that terrorists may be plotting to attack large gatherings of people at an unspecified location in Sandton (Johannesburg, Gauteng province) on 29 October. According to the embassy, further details of the plot are not available, however it has advised people to avoid large public gatherings in Sandton over the coming days. People should exercise vigilance and anticipate a heightened security posture over the coming days.

  MORE DETAIL   
The US embassy rarely issues terror alerts for South Africa. In June 2016, the embassy issued an alert warning of plots against locations frequented by US citizens, including upscale shopping centers in Cape Town (Western Cape province) and Johannesburg. In September 2015, the embassy issued an alert warning about a potential attack on US interests and facilities. Previous warnings were also issued in 2010 and 2009.
Regardless, there have been no major terrorist attacks in South Africa in recent years. Terrorist incidents in recent decades have been small-scale, infrequent, and commonly also linked to criminality. In 2018 one man was killed and two others injured during an attack on a Shia Muslim Mosque in Durban (KwaZulu-Natal province). 
Although the potential for an attack cannot be disregarded, terrorism risks in South Africa continue to be low. The country is a potential target for militant groups given the high number of attractive targets and the presence of sympathisers to extremist groups, including the transnational extremist Islamic State (IS) group. However, South Africa's long-held relative neutral foreign policy and the absence of active domestic terrorist groups reduce the likelihood for an attack. Additionally, terrorist groups have prioritised using the country as a recruitment, transit, and financing hub rather than a target for attack. The security forces also continue to report relative success in thwarting terrorist activities.","Terror Attack Johannesburg, South Africa","Safety (Terrorism, War, Civil-unrest)","Closed","","","Country"
"INC-1202","Meteorological: Tropical Cyclone for NALGAE-22","10/27/2022 7:06 AM","Nationwide","Philippines","Tropical Cyclone NALGAE-22 can have a medium humanitarian impact based on the maximum sustained wind speed, exposed population and vulnerability.
Forecasted to hit the land on 10/29/2022.","Meteorological: Tropical Cyclone for NALGAE-22","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Country"
"INC-1306","Meteorological:Tornado Warning","3/2/2023 9:40 PM","Dallas, TX","USA","Texas:
Dallas
 
The National Weather Service in Fort Worth has issued a
 
* Tornado Warning for...
Southern Dallas County in north central Texas...
 
* Until 700 PM CST.
 
* At 626 PM CST, severe thunderstorms capable of producing both
tornadoes and extensive straight line wind damage were located over
Cockrell Hill, moving southeast at 55 mph.
 
HAZARD...Tornado.
 
SOURCE...Radar indicated rotation.
 
IMPACT...Flying debris will be dangerous to those caught without
shelter. Mobile homes will be damaged or destroyed.
Damage to roofs, windows, and vehicles will occur. Tree
damage is likely.
 
* These dangerous storms will be near...
Duncanville around 630 PM CST.
Desoto and Lancaster around 635 PM CST.
Hutchins around 640 PM CST.
Wilmer and Ferris around 645 PM CST.
Combine around 650 PM CST.
 
Other locations impacted by this tornadic thunderstorm include Sand
Branch and Mountain Creek Lake.
 
This cluster of thunderstorms is capable of producing tornadoes and
widespread significant wind damage. Do not wait to see or hear the
tornado. For your protection move to an interior room on the lowest
floor of a building.
 
Bulletin Issued: 7:27 PM EST on March 2
Event Ends: 8:00 PM EST on March 2","Meteorological:Tornado Warning","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-1238","Security: Protest","11/28/2022 11:03 AM","Brussels","Belgium","Media sources report that approximately 10,000 protesters are holding a demonstration at an unspecified location near Wetstraat. Protesters have set off roman candles in the area. There were no immediate reports of injuries. The demonstration has been organized to protest against violence towards police officers. The duration of the demonstration has not been immediately reported. Associated disruptions may occur in the area.","Security: Protest","Safety (Terrorism, War, Civil-unrest)","Closed","","","Regional"
"INC-1252","Ransomware readiness","11/24/2021 8:02 AM","","","The GCOT and MET trained on a cyber scenario","","Cyber Security","Closed","","","Group"
"INC-1224","META LWP - SOS by Kulani Talko Martbula","11/17/2022 11:57 AM","Pretoria","South Africa","At Approximately 09:58:01 the EW&M Center received an EverBridge SOS ? META LWP alert Incident ID: 2107355768562365. EW&M Engineer Murilo Ramos reviewed the audio & video captured when Kulani Talko Mathebula at +27794974766 initiated the SOS Alert. Deem safe to call employee.

At Approximately 09:57:37 EW&M Engineer Murilo Ramos called Kulani Talko Mathebula at +27794974766.
He stated, he was okay and had been in a traffic accident. First responders had been contacted and were on the way. The incident was closed in EverBridge.

At Approximately 10:32:00 EW&M Engineer Murilo Ramos check the availability of the manager of Kulani Talko Mathebula. He was not online via TEAMS.

EW&M Engineer Murilo Ramos created an email and provided the facts of the SOS Alert to Leon van Lelyveld/Manager and to H&S Lead Shymaa Hassan.


Link to SOS video: https://manager.everbridge.net/safetyVideo/toViewVideoPage/MzM3NDI2ODA0MTY1ODc4OQ","","Security (Personal, Physical, Information)","Closed","","","Regional"
"INC-1253","Heavy snow","12/22/2022 12:33 AM","","","A reocrd heavy snow in Tohoku region has been observed from 19th Dec. The heavy snow will continue through 26th Dec. Possible warings of heavy snow/snow storm from 22nd Dec to Hokkaido, Tohoku, Kanto-Koshin, Hokuriku, Tokai, Kinki, Chugoku, Shikoku, Kyushu regions.","","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Market"
"INC-1139","Transportation: Public Transportation Disruption","9/12/2022 7:31 PM","Nationwide","United States","Sources report that Amtrak has begun to implement service adjustments in preparation for the potential freight rail worker strike on Friday, September 16 involving the Brotherhood of Locomotive Engineers and Trainmen (BLET) and International Association of Sheet Metal, Air, Rail, and Transportation Workers-Transportation Division (SMART-TD). Although the potential strike does not involve Amtrak or its workers, the freight tracks that Amtrak uses would not be available should the strike begin. As a result, Amtrak has preemptively suspended service along the following routes: 

- Empire Builder between Chicago, IL, Seattle, WA, and Portland, OR
- California Zephyr between Chicago, IL and San Francisco, CA
- Southwest Chief between Chicago, IL and Los Angeles, CA
- Portion of Texas Eagle between Los Angeles, CA and San Antonio, TX

Other long distance and state-supported routes could be affected throughout this week as well; however, only minimal changes are expected along the Amtrak-owned Northeast Corridor. Minor schedule changes are expected on a small number of Northeast Regional trains serving destinations from Virginia to Boston, MA. Train service is not expected to be impacted along the following routes: 

- Acela between Boston, MA, Washington DC, and New York City, NY
- Empire Service between New York City, NY and Albany, NY
- Keystone Service between New York City, NY and Harrisburg, PA
- Amtrak Hartford Line between New Haven, CT and Springfield, MA
- Downeaster between Boston, MA and Brunswick, ME 

Expect associated disruptions to continue.","Transportation: Public Transportation Disruption","Transportation Infrastructure (Road, Waterways, Rail, Air)","Closed","","","Regional"
"INC-1254","Meteorological: Blizzard","12/23/2022 6:04 PM","Multiple localities","USA","Winter storms can bring snow, sleet, and freezing rain across the entire United States and its territories. Even Hawaii gets snow in its Big Island, and major cities as far south as Atlanta and Dallas have been paralyzed by snow and ice. Blizzards occur when strong wind causes blowing snow and whiteout conditions, making roads impassable. Thousands of people are injured or killed every year in traffic accidents related to slippery roads from winter storms.
Here's what you should know about the severe cold weather impacting millions of Americans
Governors in at least 12 states have enacted emergency measures and cold weather protocols as severe winter weather impacts much of the US.

Wind chill alerts cover nearly half of the country's population as the ?once-in-a-generation"" winter storm brings snow, wind, ice and frigid temperatures.

Meanwhile, more than 2,300 US flights have been canceled so far during a busy holiday travel week.","Meteorological: Blizzard","Other","Closed","","","Regional"
"INC-1140","Other: Evacuation","9/14/2022 7:15 PM","Shanghai","China","Typhoon Muifa: 
- Media sources are reporting that local officials have ordered at least 40,084 people to evacuate from multiple areas of Shanghai due to the passage of Typhoon Muifa. At least 19,084 people have been ordered to evacuate in Fengxian District, while at least 21,036 people, including 7,000 construction workers, are being ordered to evacuate in Xuhui District. The expected duration of the evacuation has not been specified.

- Media sources are reporting that at least 990,000 individuals have been impacted by evacuations in Zhejiang Province due to the passage of Typhoon Muifa. At least 1,097 people were evacuated from their homes in the areas of Nanji, Beiji, and Beilong, in Wenzhou. The estimated duration of the evacuations were not immediately indicated.","Other: Evacuation","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Country"
"INC-1215","Tornado Warning in Mecklenburg, VA, United States","11/11/2022 2:04 PM","Boydton","United States","Assets may be Impacted
Locations in Affected Counties:
AZURE DR - Virginia (Boydton, Mecklenburg County, VA)
 
Description for target area(s):
 
Virginia:
Brunswick, Mecklenburg
 
The National Weather Service in Wakefield has issued a
 
* Tornado Warning for...
Southeastern Mecklenburg County in south central Virginia...
Southwestern Brunswick County in south central Virginia...
 
* Until 1215 PM EST.
 
* At 1146 AM EST, a severe thunderstorm capable of producing a
tornado was located near Ebony, or 9 miles northeast of Warrenton,
moving north at 30 mph.
 
HAZARD...Tornado.
 
SOURCE...Radar indicated rotation.
 
IMPACT...Flying debris will be dangerous to those caught without
shelter. Mobile homes will be damaged or destroyed.
Damage to roofs, windows, and vehicles will occur. Tree
damage is likely.
 
* This dangerous storm will be near...
Ebony and Gasburg around 1200 PM EST.
Brodnax and Brunswick around 1210 PM EST.
 
Other locations impacted by this tornadic thunderstorm include White
Plains, Bowens Corner and Lake Gaston.
 
TAKE COVER NOW! Move to a basement or an interior room on the lowest
floor of a sturdy building. Avoid windows. If you are outdoors, in a
mobile home, or in a vehicle, move to the closest substantial shelter
and protect yourself from flying debris.
 
Please report severe weather by calling 757-899-2415, posting to the
NWS Wakefield Facebook page, or using Twitter @NWSWAKEFIELDVA.
 
Bulletin Issued: 11:46 AM EST on November 11
Event Ends: 12:15 PM EST on November 11

https://www.wric.com/weather/severe-weather/tornado-warnings-in-place-in-mecklenburg-brunswick-counties/","Meteorological: Tornado","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Site"
"INC-1294","Test the tool : COVID 19 pandemic","2/13/2023 5:22 AM","","Saudi Arabia","effecting all employees and their families","","Health (Epidemic, Pandemic, Medical, Public health)","Closed","","","Country"
"INC-1239","Security: Protest","11/27/2022 12:11 PM","Cheng Du","China","Unconfirmed sources report that a significant number of protesters are marching from Wangping Street to areas throughout central Chengdu. The protest is being held in opposition to recent COVID-related lock downs. Disruptions to traffic are being reported in the area. The size and duration of the demonstration have not been immediately reported. Associated disruptions may occur in the area.","Security: Protest","Safety (Terrorism, War, Civil-unrest)","Closed","","","Regional"
"INC-1322","imminent strike","3/24/2023 8:34 AM","","Netherlands","due failing negotiations on CLA, the unions appear to organize a strike","","Other","Monitoring","","","Country"
"INC-1026","Meteorological: Tornado","6/13/2022 8:21 PM","Elk Grove Village","United States","Tornado Warning
 
Category: ActivWeather
Severity: Extreme
Certainty: Observed

 
Source Location: NWS Chicago IL
Affected Counties: Cook, IL
 
 
Assets may be Impacted
Locations in Affected Counties:
Critical Cloud Data Center @ PNX USA - Chicago2 (Elk Grove Village, Cook County, IL)
 
Description for target area(s):
 
Illinois:
Cook, Kane
 
The National Weather Service in Chicago has issued a
 
* Tornado Warning for...
Northeastern Kane County in northeastern Illinois...
Northwestern Cook County in northeastern Illinois...
 
* Until 645 PM CDT.
 
* At 554 PM CDT, a severe thunderstorm capable of producing a tornado
was located over West Dundee, or over Carpentersville, moving east
at 15 mph.
 
HAZARD...Tornado.
 
SOURCE...Radar indicated rotation.
 
IMPACT...Flying debris will be dangerous to those caught without
shelter. Mobile homes will be damaged or destroyed.
Damage to roofs, windows, and vehicles will occur. Tree
damage is likely.
 
* This dangerous storm will be near...
Barrington Hills and East Dundee around 600 PM CDT.
Hoffman Estates around 605 PM CDT.
Bartlett around 610 PM CDT.
 
Other locations in the path of this tornadic thunderstorm include
Barrington, Streamwood, Inverness, Hanover Park, Schaumburg and
Palatine.
 
This includes... Schaumburg Boomers Baseball.
 
Including the following interstate...
I-90 between mile markers 52 and 65.
 
TAKE COVER NOW! Move to a basement or an interior room on the lowest
floor of a sturdy building. Avoid windows. If you are outdoors, in a
mobile home, or in a vehicle, move to the closest substantial shelter
and protect yourself from flying debris.
 
Bulletin Issued: 6:54 PM EDT on June 13
Event Ends: 7:45 PM EDT on June 13","","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-1006","Meteorological:  Tornado Warning","5/21/2022 10:31 PM","Florida","United States","Event closed","Meteorological:  Tornado Warning","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Site"
"INC-0815","Ransomware attack","11/24/2021 10:13 AM","","","Data in salesforce is encrypted and cannot be used by costumers and consumers and is fundament of commercial revenues and come still at year end (most important time of the year)","","Cyber Security","Monitoring","","","Group"
"INC-0898","So.Korea/Japan ISC Concerns over Taiwan","2/1/2022 9:11 AM","","Taiwan","Increase tension within region over China and No.Korea","","Other","Closed","","","Regional"
"INC-0967","Power crunch alert 22nd March","3/21/2022 11:33 PM","","Japan","The Japanese government, the Tokyo Electric Power Company and the Tohoku Electric Power Co., are calling on households and companies to save electricity on Tuesday 22nd March, when demand is expected to spike due to cold weather.

The supply capacity of the utility has been undermined by a strong earthquake that hit northeastern Japan last week. A unit of a thermal power plant in the area remains off the grid.

Electricity demand for heating may spike on Tuesday, when snow and rain are forecast for eastern Japan.

The government is warning that a power crunch could cause a massive blackout in greater Tokyo area and Tohoku area.","","Utilities (Power, Water, Natural Gas, Public Telecom)","Closed","","","Regional"
"INC-1103","Meteorological: Storm","8/18/2022 4:04 PM","Northern Italy","Italy","Media sources report that a heavy storm has caused casualties and other disruptions in numerous areas across northern Italy. The most affected regions include Tuscany and Veneto, where states of emergencies have been declared as a result of the damage and disruptions caused by the storm. Two people were killed in the areas of Lucca and Carrara, and 18 other people have been injured in storm-related incidents. Hundreds of people have been evacuated in the provinces of Massa-Carrara, Siena, Pistoia, Arezzo, Pisa, Livorno, Grosseto, Prato, Lucca, and the City of Florence. Evacuations were also reported in Ferrara after strong winds caused a crane to collapse on a residential building, which resulted in no injuries. In addition, at least 20 residents were evacuated in the areas of Cogorno, Lavagna, and Chiavari, in Liguria, after strong winds and a tornado damaged a number of residences. Multiple weather warnings for thunderstorms and rain remain in place across northern Italy through earlier Friday morning local time. Expect associated disruptions to persist across the affected region until weather conditions improve.","Meteorological: Storm","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-1343","Hurrican Sigrid","4/12/2023 10:43 AM","","Netherlands","Hurricane Sigrid is moving towards local area and will arrive in 4 days from today. (4-12-123). Significant impact from hurricane is anticipated.","","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Country"
"INC-1340","Hurricane Sigrid","4/12/2023 8:44 AM","","Netherlands","4 days the hurricane will make fall and have significant impact","","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Country"
"INC-0932","Other: State of Emergency","2/14/2022 7:35 PM","Nationwide","Canada","Media sources are the Prime Minister Justin Trudeau has invoked the Emergencies Act in response to the ongoing convoy protests at multiple locations in Canada. It is unclear what specific measures will be taken; however, the emergency proclamation allows for the federal government to deploy more resources to deal with the protests. This includes securing border crossings and airports and forcing essential services, such as tow trucks, to be rendered as needed. The powers can remain in effect for 30 days but may end earlier if no longer needed.","Other: State of Emergency","Other","Closed","","","Regional"
"INC-0229","Super Typhoon - Hagibis","10/8/2019 2:59 AM","","Japan","The tropical cyclone forecast has been issued by Joint Typhoon Warning Center (JTWC) on October 09, 2019, 09:00:00 GMT. Super Typhoon - Hagibis, currently equivalent to a Category 5 hurricane (on the Saffir-Simpson scale), is located in the NW Pacific Ocean with maximum sustained winds of 259 km/h (161 mph), and wind gusts up to 315 km/h (196 mph). 

According to this forecast (#17), the cyclone is headed North at about 19 km/h (12 mph), and is expected to remain at this strength over the next 24 hours. 
It is cautioned, however, that the storm's actual position may shift significantly over the next few days. 

Based on the current forecast (the storm's center and path), Super Typhoon - Hagibis is not expected to cross-over a major land-mass within the next 48-72 hours (although it may impact smaller islands along the way). 

For the extended forecast, an estimated 8.24 Million people, 3.17 Million households, and $1.94 Trillion (USD) of infrastructure are potentially exposed to moderate to severe damaging winds (with damage expected closer to the shores). 

All shorelines in the path of the storm are exposed to potential storm surge, and inland areas within the proximity of the storm are exposed to potential flooding. 
Additional updates will be provided as they become available by official sources.","","Natural disaster","Closed","","","Country"
"INC-0156","","2/18/2019 4:11 PM","","","","","","","","",""
"INC-1344","Hurricane Sigrid","4/12/2023 10:43 AM","","United States","In 4 days HS is expected to make landfall and have significant impact.","","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Country"
"INC-1051","Meteorological: Tornado","7/3/2022 11:25 PM","Guangzhou","China","Media sources are reporting a tornado has touched down at an unspecified location in the Huangpu area of Guangzhou. There were no initial reports of injuries. The roof of a factory facility was damaged. Expect disruptions as emergency teams respond to the scene.","Meteorological: Tornado","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Site"
"INC-0326","Cyclone","4/9/2020 4:27 AM","","","Cyclone","","Geophysical (Earthquake, landslide, Tsunamis)","Closed","","","Regional"
"INC-0501","Other: State of Emergency","1/31/2021 6:27 PM","Statewide","United States","Multiple sources indicate that Governor Phil Murphy has declared a state of emergency in New Jersey. The declaration has been made in anticipation of a storm. Additionally, New Jersey transit buses, rail, light rail, and Access Link service will be temporarily suspended beginning Monday. State of emergency declarations allow for the state's resources to be deployed where needed.","Other: State of Emergency","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Site"
"INC-0575","Security: Shooting","6/21/2021 10:03 AM","Atlanta","United States","Unconfirmed sources are reporting a shooting near Lakewood Ave SE and Livermore St SE. One person has been injured. Anticipate localized disruptions due to associated police activity.","Security: Shooting","Armed conflict","Closed","","","Site"
